component,explained_variance_ratio,cumulative_variance_ratio
1,0.1385460013224075,0.1385460013224075
2,0.10295447308087569,0.24150047440328318
3,0.0657190961473274,0.30721957055061055
4,0.05364695556899871,0.3608665261196093
5,0.040765072843273895,0.4016315989628832
6,0.035786802361926,0.4374184013248092
7,0.0330420995067381,0.4704605008315473
8,0.032141775362530337,0.5026022761940776
9,0.030449213567245646,0.5330514897613232
10,0.027261609793822965,0.5603130995551462
11,0.026477072605053522,0.5867901721601997
12,0.02494350201591692,0.6117336741761166
13,0.023311462758617167,0.6350451369347337
14,0.020776572468125205,0.655821709402859
15,0.01918726864424659,0.6750089780471056
16,0.01786027704625793,0.6928692550933635
17,0.017263133867718414,0.7101323889610819
18,0.016234551506943636,0.7263669404680255
19,0.015197719479158989,0.7415646599471846
20,0.014819799889299906,0.7563844598364845
21,0.014026376683632187,0.7704108365201167
22,0.012942518157497177,0.7833533546776138
23,0.012365796422386643,0.7957191511000005
24,0.012250123342888273,0.8079692744428887
25,0.011917680214044992,0.8198869546569337
26,0.010189824212721773,0.8300767788696555
27,0.0097184758023666,0.8397952546720221
28,0.009141676072973351,0.8489369307449954
29,0.008994365394660307,0.8579312961396557
30,0.008690941935808199,0.8666222380754639
31,0.008336443347887185,0.8749586814233511
32,0.007666138692383539,0.8826248201157346
33,0.007466572917837307,0.8900913930335719
34,0.006951505838301563,0.8970428988718734
35,0.006620620180392137,0.9036635190522655
36,0.006114664922691316,0.9097781839749568
37,0.005699163625403751,0.9154773476003606
38,0.005127161209555062,0.9206045088099156
39,0.004618321626152118,0.9252228304360678
40,0.004445394975852226,0.9296682254119201
41,0.004187909499081656,0.9338561349110017
42,0.003707158334359318,0.937563293245361
43,0.003575961020743604,0.9411392542661047
44,0.0034277798863563158,0.944567034152461
45,0.003277112176387342,0.9478441463288484
46,0.0031572427263587446,0.9510013890552071
47,0.002967107639089648,0.9539684966942968
48,0.002896220310820406,0.9568647170051172
49,0.0026483539633292176,0.9595130709684464
50,0.0024439277110260525,0.9619569986794725
51,0.002420797779360935,0.9643777964588334
52,0.002354013259353047,0.9667318097181864
53,0.0020252343294218183,0.9687570440476082
54,0.0019655311048918087,0.9707225751525
55,0.0018708643986199052,0.97259343955112
56,0.0017768125499062692,0.9743702521010262
57,0.0017449468827660075,0.9761151989837923
58,0.0016561020788655929,0.9777713010626579
59,0.0016261404812857433,0.9793974415439436
60,0.0014903100328822643,0.9808877515768258
61,0.0013415735334274042,0.9822293251102533
62,0.0013067873320146304,0.9835361124422679
63,0.001256039827473521,0.9847921522697415
64,0.00118736096647643,0.9859795132362179
65,0.0011474113504275196,0.9871269245866454
66,0.0011053433780317022,0.9882322679646771
67,0.001005753467427579,0.9892380214321047
68,0.0009873641267265608,0.9902253855588312
69,0.0008913988226299838,0.9911167843814612
70,0.0007383204572460916,0.9918551048387073
71,0.0007048617976950512,0.9925599666364023
72,0.0006696161134856402,0.9932295827498879
73,0.0006094179897302909,0.9938390007396182
74,0.0005999470387854655,0.9944389477784037
75,0.0005472034842647034,0.9949861512626684
76,0.0005318204307060544,0.9955179716933745
77,0.0004802205279014542,0.995998192221276
78,0.00045312398433919223,0.9964513162056151
79,0.0004442176111793165,0.9968955338167944
80,0.0004347757348205141,0.997330309551615
81,0.0003742355388227689,0.9977045450904377
82,0.0003725094958495424,0.9980770545862873
83,0.00034214219671464173,0.998419196783002
84,0.0003269890814814472,0.9987461858644834
85,0.00032406238794931695,0.9990702482524327
86,0.00029098579242978234,0.9993612340448625
87,0.00021893856529879162,0.9995801726101613
88,0.00019621940305712056,0.9997763920132184
89,0.00011314838245412774,0.9998895403956726
90,6.053369681726222e-05,0.9999500740924898
91,4.992590751011572e-05,0.9999999999999999
92,3.381344674251749e-17,0.9999999999999999
93,1.9609173451231154e-17,0.9999999999999999
94,1.037759647600093e-17,0.9999999999999999
95,0.0,0.9999999999999999
96,0.0,0.9999999999999999
97,0.0,0.9999999999999999
